"list_name","name","label::Malagasy (mg)","label::French (fr)","label::English (en)"
"trees","4","4 - Nombre élevé d'arbres (et / ou autres plantes vivaces) de différentes espèces intégrées dans les terres agricoles.","4 - Nombre élevé d'arbres (et / ou autres plantes vivaces) de différentes espèces intégrées dans les terres agricoles.","4 - High number of trees (and/or other perennials) of different species integrated within the productive system"
"div_activ","0","0 - Tsy miteraka fidiram-bola ny famokarana fambolena.","0 - La production agricole ne génère aucun revenu.","0 - Agricultural production does not provide any income."
"div_activ","0.5","0.5","0.5","0.5"
"div_activ","1","1 - Ny fidiram-bola dia vokatry ny hetsika tokana mifandraika amin'ny vokatra na serivisy manokana.","1 - Le revenu est généré par une seule activité liée à un produit ou un service spécifique.","1 - Income is generated from a single activity associated with a specific product or service."
"div_activ","1.5","1.5","1.5","1.5"
"div_activ","2","2 - Ny fidiram-bola dia azo avy amin'ny hetsika voafetra mifandraika amin'ny vokatra sy serivisy vitsivitsy vokarina ao amin'ny toeram-pambolena.","2 - Le revenu est généré par un nombre limité d'activités liées à un petit nombre de produits et services produits à la ferme.","2 - Income is generated from a limited number of activities related to a small range of products and services produced on the farm."
"div_activ","2.5","2.5","2.5","2.5"
"div_activ","3","3 - Ny fidiram-bola dia azo avy amin'ny hetsika maromaro mifandray amin'ny vokatra sy serivisy samihafa vokarina amin'ny toeram-pambolena.","3 - Les revenus sont générés par plusieurs activités liées à divers produits et services produits à la ferme.","3 - Income is generated from multiple activities linked to various products and services produced on the farm."
"div_activ","3.5","3.5","3.5","3.5"
"div_activ","4","4 - Ny fidiram-bola dia azo antoka amin'ny hetsika isan-karazany mifandray amin'ny vokatra sy serivisy vokarina ao amin'ny toeram-pambolena.","4 - Les revenus sont garantis par un large éventail d'activités associées à plusieurs produits et services produits à la ferme.","4 - Income is secured through a diverse range of activities associated with several products and services produced on the farm."
"cla_int","0","0 - Pas d'intégration: : omena sakafo novidina ny biby ary tsy ampiasaina amin'ny fahavokarana ny tany ny zeziny; NA tsy misy biby ao amin'ny agroecosystem.","0 - Pas d'intégration: les animaux sont nourris avec des aliments achetés et leur fumier n'st pas utilisé pour la fertilité du sol; OU il n'y a pas d'animaux dans l'agroécosystème.","0 - No integration: animals are fed with purchased feed and their manure is not used for soil fertility; or no animals in the agroecosystem."
"cla_int","0.5","0.5","0.5","0.5"
"cla_int","1","1 - Faible intégration: sakafo novidina no omena ny biby, atao zezika ny zeziny.","1 - Faible intégration: les animaux sont principalement nourris avec des aliments achetés, leur fumier est utilisé comme engrais.","1 - Low integration: animals are mostly fed with purchased feed, their manure is used as fertilizer."
"cla_int","1.5","1.5","1.5","1.5"
"cla_int","2","2 - Intégration moyenne: sakafo novokarina eny amin'ny toeram-pambolena sy/na kijana no tena iveloman'ny biby, atao zezika ny zeziny.","2 - Intégration moyenne: les animaux sont principalement nourris avec des aliments produits à la ferme et/ou au pâturage, leur fumier est utilisé comme engrais.","2 - Medium integration: animals are mostly fed with feed produced on the farm and/or grazing, their manure is used as fertilizer."
"cla_int","2.5","2.5","2.5","2.5"
"cla_int","3","3 - Intégration élevée:  ny biby dia omena indrindra amin'ny fahana vokarina eo amin'ny toeram-pambolena, ny sisa tavela amin'ny vokatra sy ny vokatra sy/na kijana, ny zeziny dia ampiasaina ho zezika ary manome serivisy izy ireo (ohatra.","3 - Intégration élevée: les animaux sont principalement nourris avec des aliments produits à la ferme, des résidus de récolte et des sous-produits et / ou des pâturages, leur fumier est utilisé comme engrais et ils assurent un service (par ex. la traction).","3 - High integration: animals are mostly fed with feed produced on the farm, crop residues and by-products and/or grazing, their manure is used as fertilizer and they provide at least one service (e.g. traction)"
"cla_int","3.5","3.5","3.5","3.5"
"cla_int","4","4 - Intégration complète: ny biby dia  tsy omena sakafo afa-tsy amin'izay vokarina any amin'ny toeram-pambolena ihany, ny sisa amin'ny vokatra sy ny vokatra sy/na kijana, ny tainy rehetra dia atao ho zezika avokoa  et ils fournissent plus d'un service (ohatra ny sakafo, vokatra, traction, sns.).","4 - Intégration complète: les animaux sont exclusivement nourris avec des aliments produits à la ferme, des résidus de récolte et des sous-produits et / ou des pâturages, tout leur fumier est recyclé comme engrais et ils fournissent plus d'un service (par ex. nourriture, produits, traction, etc.).","4 - Complete integration: animals are exclusively fed with feed produced on the farm, crop residues and by-products and/or grazing, all their manure is recycled as fertilizer and they provide more than one service (food, products, traction, etc.)."
"s_plant","0","0 - Avela miboridana ny tany rehefa avy miakabokatra. Tsy manao association de cultures, tsisy hetsika atao amin'ny haidratsy, tsy manao fifandimbiasam-boly...","0 - Le sol est nu après la récolte. Pas d'association de cultures. Aucune gestion des mauvaises herbes ni des combinaisons de cultures. Pas de rotations de cultures (ou de systèmes de pâturage rotationnel). Perturbation importante du sol (biologique, chimique ou mécanique) avec utilisation courante d'agrochimiques et/ou de feux, surpâturage ou utilisation de machines non adaptées.","0 - Soil is bare after harvest. No intercropping. No weed management or crop combination management. No crop rotations (or rotational grazing systems). Heavy soil disturbance (biological, chemical or mechanical) with common use of agrochemicals and/or fire, overgrazing, or non-adapted machineries."
"s_plant","0.5","0.5","0.5","0.5"
"s_plant","1","1 - (-20%) rakotry ny voly sisa tavela (résidus de cultures). Tsy misy fikarakarana tsimparifary. +80 % ny voly dia monoculture mitohy. Fikorontanan'ny tany, anisan'izany ny fampiasana matetika ny agrochemicals.","1 - Moins de 20 pour cent des terres arables sont couvertes de résidus ou de cultures de couverture. Aucun arrangement de mauvaises herbes ou de combinaisons de cultures. Plus de 80 pour cent des cultures sont produites en culture monophasée et continue (ou sans pâturage rotationnel). Perturbation du sol, y compris utilisation courante d'agrochimiques.","1 - Less than 20 percent of the arable land is covered with residues or cover crops. No weed or crop combination arrangements  . More than 80 percent of the crops are produced in mono and continuous cropping (or no rotational grazing). Soil disturbance, including common use of agrochemicals."
"s_plant","1.5","1.5","1.5","1.5"
"s_plant","2","2 - (- 50 %) rakotry ny voly sisa tavela (résidus de cultures). Tsy misy fikarakarana tsimparifary. Certaines cultures sont tournées ou associées (ou un certain pâturage rotationnel est effectué). Il peut y avoir une perturbation du sol, mais l'utilisation d'agrochimiques est minimisée, y compris certaine utilisation d'agrochimiques et/ou de feux.","2 - 50 pour cent du sol est couvert de résidus ou de cultures de couverture. Pratiques de gestion des mauvaises herbes et de combinaison de cultures connues mais non appliquées. Certaines cultures sont tournées ou associées (ou un certain pâturage rotationnel est effectué). Il peut y avoir une perturbation du sol, mais l'utilisation d'agrochimiques est minimisée, y compris certaine utilisation d'agrochimiques et/ou de feux.","2 - 50 percent of soil is covered with residues or cover crops. Weed management and crop combination practices known about but not applied. Some crops are rotated or intercropped (or some rotational grazing is carried out). There might be soil disturbance but the use of agrochemicals is minimized, including some use of agrochemicals and/or fire."
"s_plant","2.5","2.5","2.5","2.5"
"s_plant","3","3 - (+80 %) rakotry ny voly sisa tavela","3 - Plus de 80 pour cent du sol est couvert de résidus ou de cultures de couverture. Les cultures sont régulièrement tournées ou associées (ou le pâturage rotationnel est systématique). Pratiques de gestion des mauvaises herbes et de combinaison de cultures appliquées. Perturbation du sol minimisée et absence d'utilisation d'agrochimiques.","3 - More than 80 percent of soil is covered with residues or cover crops. Crops are rotated regularly or intercropped (or rotational grazing is systematic). Weed management and crop combination practices applied. Soil disturbance is minimized and there is no use of agrochemicals."
"s_plant","3.5","3.5","3.5","3.5"
"s_plant","4","4 - (100%) rakotry ny voly sisa tavela","4 - Tout le sol est couvert de résidus ou de cultures de couverture. Les cultures sont régulièrement tournées et l'association est courante (ou le pâturage rotationnel est systématique). Gestion des mauvaises herbes, combinaison de cultures et/ou régénération en jachère pratiquées et appliquées de manière systématique. Peu ou pas de perturbation du sol et pas d'utilisation d'agrochimiques.","4 - All the soil is covered with residues or cover crops. Crops are rotated regularly and intercropping is common (or rotational grazing is systematic). Weed management, crop combination and and/or fallow regeneration practiced and applied in a systematic way. Little or no soil disturbance and no use of agrochemicals."
"tree_int","0","0 - Pas d'intégration: ny hazo (sy ny zavamaniry isan-taona) dia tsy manana anjara toerana ho an'ny fianakaviana na amin'ny famokarana zavamaniry na biby.","0 - Pas d'intégration: les arbres (et autres plantes vivaces) n'ont pas de rôle pour la famille ou dans la production végétale ou animale. ","0 - No integration: trees (and other perennials) don't have a role for humans or in crop or animal production . "
"tree_int","0.5","0.5","0.5","0.5"
"tree_int","1","1 - Faible intégration:  hazo kely (sy zava-maniry isan-taona) dia tsy manome afa-tsy vokatra iray (ohatra ny voankazo, ny hazo, ny vilona, ​​ny fanafody na ny biopesticides, sns) na ny serivisy iray ihany ho an'ny voly sy/na biby (oh. alokaloka ho an'ny biby, fitomboan'ny fahavokarana ny tany, fitehirizana rano, sakana amin'ny fikorontanan'ny tany, sns.).","1 - Faible intégration: un petit nombre d'arbres (et autres plantes vivaces) ne fournissent qu'un seul produit(par exemple fruits, bois, fourrage, substances médicinales ou biopesticides…) ou qu'un seul service pour les cultures et/ou les animaux (par exemple de l'ombre pour les animaux, une fertilité accrue du sol, une rétention d'eau, une barrière à l'érosion du sol…).","1 - Low integration: small number of trees(and other perennials) only provide one product(e . g . fruits, timber, forage, medicinal or biopesticides substances…) or service(e . g . shade for animals, increased soil fertility, water retention, barrier to soil erosion…) for humans crops and/or animals ."
"tree_int","1.5","1.5","1.5","1.5"
"tree_int","2","2 - Intégration moyenne: betsaka ny hazo (sy ny zavamaniry isan-taona) manome vokatra na serivisy iray farafahakeliny.","2 - Intégration moyenne: un nombre important d'arbres (et d'autres plantes vivaces) fournissent au moins un produit ou un service.","2 - Medium integration: significant number of trees (and other perennials) provide at least one product or service."
"tree_int","2.5","2.5","2.5","2.5"
"tree_int","3","3 - Intégration élevée: hazo marobe (sy zava-maniry isan-karazany) isan-karazany no manome vokatra sy serivisy maromaro.","3 - Intégration élevée: un nombre important d'arbres (et autres plantes vivaces) de différentes espèces fournissent plusieurs produits et services.","3 - High integration: significant number of trees (and other perennials) of different species provide several products and services."
"tree_int","3.5","3.5","3.5","3.5"
"tree_int","4","4- Intégration complète : hazo maro (sy ny zava-maniry hafa isan-taona) amin'ny karazany samihafa no manome vokatra sy serivisy maromaro, ary apetraka ny fomba fanao mikendry ny fanavaozana (ohatra, any amin'ny ala sy ny ala).","4 Intégration complète : de nombreux arbres (et autres plantes vivaces) de différentes espèces fournissent plusieurs produits et services, et des pratiques visant la régénération (par exemple, dans les forêts et les jachères) sont mises en place.","4 - Complete integration: many trees (and other perennials) of different species provide  several products and services, and practices aimed at regeneration (e.g. in forests and fallows) are in place."
"connectivity","0","0 - Tsy misy ifandraisany mihintsy: mitovitovy ny anaty sy ivelan'ny exploitation agricole, pas d'environnements semi-naturels, pas de zones de compensation écologique.","0 - Pas de connectivité: grande uniformité à l'intérieur et à l'extérieur de l'agroécosystème, pas d'environnements semi-naturels, pas de zones de compensation écologique.","0 - No connectivity: high uniformity within and outside the agroecosystem, no semi-natural environments, no zones of ecological compensation."
"connectivity","0.5","0.5","0.5","0.5"
"connectivity","1","1 - Fifandraisana ambany: misy singa mitoka-monina vitsivitsy hita ao amin'ny agroecosystem, toy ny hazo, kirihitra, fefy voajanahary, dobo na faritra kely fanonerana ara-tontolo iainana.","1 - Faible connectivité: quelques éléments isolés peuvent être trouvés dans l'agroécosystème, tels que des arbres, des arbustes, des clôtures naturelles, un étang ou une petite zone de compensation écologique.","1 - Low connectivity: a few isolated elements can be found in the agroecosystem, such as trees, shrubs, natural fences, a pond or a small zone of ecological compensation."
"connectivity","1.5","1.5","1.5","1.5"
"connectivity","2","2 - Fifandraisana antonony: singa maromaro mifanakaiky amin'ny voly sy/na kijana na amin'ny faritra lehibe fanonerana ara-tontolo iainana.","2 - Connectivité moyenne: plusieurs éléments sont adjacents aux cultures et/ou pâturages ou à une grande zone de compensation écologique.","2 - Medium connectivity: several elements are adjacent to crops and/or pastures or a large zone of ecological compensation."
"connectivity","2.5","2.5","2.5","2.5"
"connectivity","3","3 - Fifandraisana manan-danja: misy singa maromaro hita eo anelanelan'ny tany fambolena sy/na kijana na faritra fanonerana ara-tontolo iainana (hazo, kirihitra, zavamaniry voajanahary, kijana, fefy, lakandrano, sns.).","3 - Connectivité importante: plusieurs éléments peuvent être trouvés entre des parcelles de cultures et/ou des pâturages ou plusieurs zones de compensation écologique (arbres, arbustes, végétation naturelle, pâturages, haies, canaux, etc.).","3 - Significant connectivity: several elements can be found in between plots of crops and/or pastures or several zones of ecological compensation (trees, shrubs, natural vegetation, pastures, hedges, channels, etc.)."
"connectivity","3.5","3.5","3.5","3.5"
"connectivity","4","4 - Fifandraisana avo: ny agroecosystem dia manolotra mosaika sy tontolo isan-karazany, singa maro toy ny hazo, kirihitra, fefy na dobo no hita eo anelanelan'ny tany na kijana tsirairay, na faritra fanonerana ara-tontolo iainana maromaro.","4 - Connectivité élevée: l'agroécosystème présente une mosaïque et un paysage diversifié, de nombreux éléments tels que des arbres, des arbustes, des clôtures ou des étangs peuvent être trouvés entre chaque parcelle de terrain ou pâturage, ou plusieurs zones de compensation écologique.","4 - High connectivity: the agroecosystem presents a mosaic and diversified landscape, many elements such as trees, shrubs, fences or ponds can be found in between each plot of cropland or pasture, or several zones of ecological compensation."
"rec_biomass","0","0 - Ny sisamboly sy ny vokatra avy amin'ny  fiompiana dia tsy ampiasaina intsony amin'ny toeram-pambolena (ohatra: avela ho simba na hodorana) ","0 - Les résidus et sous-produits de la production végétale et animale ne sont pas réutilisés dans d'autres activités productives à la ferme (par exemple, ils sont laissés pour se décomposer ou brûlés).","0 - Residues and by-products of crop and animal production are not reused in other productive activities on farm (e.g. they are left for decomposition or burnt)."
"rec_biomass","0.5","0.5","0.5","0.5"
"rec_biomass","1","1 - Ny ampahany kely (une partie) amin'ny sisamboly sy ny vokatra avy amin'ny  fiompiana ihany no haverina ampiasaina amin'ny toeram-pambolena ","1 - Une petite partie des résidus et sous-produits de la production végétale et animale est réutilisée dans d'autres activités productives à la ferme (par exemple, les résidus de culture utilisés comme alimentation animale, l'utilisation du fumier comme engrais, la production de compost à partir du fumier et des déchets ménagers, l'engrais vert).","1 - A small part of the residues and by-products of crop and animal production is reused in other productive activities on farm (e.g. crop residues as animal feed, use of manure as fertilizer, production of compost from manure and household waste, green manure)."
"rec_biomass","1.5","1.5","1.5","1.5"
"rec_biomass","2","2 - Maherin'ny antsasany amin'ny sisamboly sy ny vokatra avy amin'ny  fiompiana dia tsy ampiasaina amin'ny toeram-pambolena ","2 - Plus de la moitié des résidus et sous-produits de la production végétale et animale sont réutilisés dans d'autres activités productives à la ferme. Des efforts sont déployés pour recycler la biomasse et les nutriments, tels que l'utilisation de résidus de culture, de fumier et d'autres matières organiques pour l'amendement du sol ou le compostage.","2 - More than half of the residues and by-products of crop and animal production is reused in other productive activities on farm. Efforts are made to recycle biomass and nutrients, such as utilizing crop residues, manure, and other organic materials for soil amendment or composting."
"rec_biomass","2.5","2.5","2.5","2.5"
"rec_biomass","3","3 - Ny ankamaroan'ny sisamboly sy ny vokatra avy amin'ny  fiompiana dia haverina ampiasaina amin'ny toeram-pambolena ","3 - La plupart des résidus et sous-produits de la production végétale et animale sont réutilisés dans d'autres activités productives à la ferme. Les pratiques de recyclage sont bien établies et prioritaires, avec un accent sur la capture et la réutilisation des matières organiques et des nutriments pour améliorer la fertilité du sol et l'efficacité des ressources.","3 - Most of the residues and by-products  of crop and animal production is reused in other productive activities on farm. Recycling practices are well-established and prioritized, focusing on capturing and reusing organic materials and nutrients to enhance soil fertility and resource efficiency."
"rec_biomass","3.5","3.5","3.5","3.5"
"rec_biomass","4","4 - Ny sisamboly sy ny vokatra avy amin'ny  fiompiana rehetra (total) dia tsy azo ampiasaina amin'ny toeram-pambolena ","4 - Tous les résidus et sous-produits de la production végétale et animale sont réutilisés dans d'autres activités productives à la ferme. Une approche globale du recyclage de la biomasse et des nutriments est mise en place, avec des systèmes efficaces de collecte, de traitement et de réintégration des matières organiques dans le système agricole.","4 - All the residues and by-products of crop and animal production is reused in other productive activities on farm. There is a comprehensive approach to recycling biomass and nutrients, with efficient systems in place for collecting, processing, and reintegrating organic materials into the agricultural system."
"waste","0","0 - Ny toeram-pambolena dia mamokatra fako be loatra. Tsy misy fomba fampihenana, fampiasana indray na fanodinana fako, ary tsy voavaha tsara ny fiantraikan'ny tontolo iainana.","0 - La ferme produit de grandes quantités de déchets (y compris des émissions) qui sont principalement déversés dans l'environnement ou brûlés. Il n'y a aucune pratique de réduction, de réutilisation ou de recyclage des déchets, et les impacts environnementaux ne sont pas efficacement traités . ","0 - Large amounts of waste (including emissions) are produced by the farm and predominantly discharged into the environment or burned. There are no practices for waste reduction, reuse, or recycling, and environmental impacts are not effectively addressed."
"waste","0.5","0.5","0.5","0.5"
"waste","1","1 - Ny toeram-pambolena dia miteraka fako betsaka (anisan'izany ny entona), ny ampahany lehibe amin'izany dia ariana amin'ny tontolo iainana na may. Averina averina ny ampahany kely amin'ny fako. Misy ampahany kely ahodina atao fako. Efa misiy fepetra ny fomba fampihenana, fampiasana indray na fanodinana fako, ary tsy ampy ny ezaka hanalefahana ny fiantraikan'ny tontolo iainana.   ","1 - La ferme génère une grande quantité de déchets(y compris des émissions), dont une partie importante est déversée dans l'environnement ou brûlée. Une petite partie des déchets est recyclée. Il existe des pratiques limitées de réduction, de réutilisation ou de recyclage des déchets, et les efforts pour atténuer les impacts environnementaux sont insuffisants.","1 - The farm generates a large amount of waste(including emissions), with a significant portion being discharged into the environment or burned . A minor portion of the waste is recycled . There are limited practices for waste reduction, reuse, or recycling, and efforts to mitigate environmental impacts are insufficient ."
"waste","1.5","1.5","1.5","1.5"
"waste","2","2 - Ny toeram-pambolena dia miezaka mampihena ny fako...","2 - La ferme tente de réduire la quantité de déchets en amont et produit une quantité modérée de déchets (y compris des émissions). Une partie des déchets est déversée dans l'environnement ou brûlée, tandis que l'autre moitié est recyclée. Des mesures sont mises en place pour la réduction, la réutilisation et le recyclage des déchets, mais elles ne sont pas appliquées de manière cohérente. Des efforts sont déployés pour atténuer les impacts environnementaux, mais ils pourraient être améliorés.","2 - The farm makes attempts to reduce the quantity of waste upstream and produces a moderate amount of waste (including emissions). Part of the waste is discharged into the environment or burned, while the other half is recycled. There are measures in place for waste reduction, reuse, and recycling, but they are not consistently implemented. Efforts to mitigate environmental impacts are made but could be further improved."
"waste","2.5","2.5","2.5","2.5"
"waste","3","3 - Mamokatra fako kely (anisan'izany ny entona) ny toeram-pambolena ary manodina ny ankamaroany. Ny fomba fampihenana, fampiasana indray ary fanodinana fako mahomby dia ampiharina, ahafahan'ny fitantanana araka ny tokony ho izy. ","3 - La ferme produit de petites quantités de déchets (y compris des émissions) et recycle la majorité d'entre eux. Des pratiques efficaces de réduction, de réutilisation et de recyclage des déchets sont mises en œuvre, ce qui permet une gestion adéquate des déchets. Les impacts environnementaux liés aux déchets sont minimisés.","3 - The farm produces small amounts of waste (including emissions) and recycles the majority of it. Effective practices for waste reduction, reuse, and recycling are implemented, resulting in proper waste management. Environmental impacts associated with waste are minimized."
"waste","3.5","3.5","3.5","3.5"
"waste","4","4 - Ny toeram-pambolena dia mamokatra fako faran'izay kely (anisan'izany ny entona) ary havadika atao zezika manontolo ireo. ","4 - La ferme produit des quantités minimales de déchets (y compris des émissions) et recycle l'ensemble. Des pratiques avancées de réduction, de réutilisation et de recyclage des déchets sont appliquées, garantissant une gestion globale des déchets et minimisant les impacts environnementaux. La ferme promeut activement une approche d'économie circulaire.","4 - The farm produces minimal amounts of waste (including emissions) and recycles all of it. Advanced practices for waste reduction, reuse, and recycling are applied, ensuring comprehensive waste management and minimizing environmental impacts. The farm actively promotes a circular economy approach."
"water","0","0 - Tsy misy fitaovana na teknika hamerenana, fanodinana na fitsitsiana rano. Tsy misy ezaka atao amin'ny fitsitsiana ny loharanon-drano, ary tsy misy ny fepetra hisorohana ny etona sy ny fitazonana ny hamandoan'ny tany, ka miteraka tsy fahampian-drano sy mety ho tsy fahampian-drano.","0 - Aucun équipement ou technique de récupération, de recyclage ou d'économie de l'eau n'st mis en œuvre. Aucun effort n'st fait pour conserver les ressources en eau, et les mesures visant à éviter l'évaporation et à retenir l'humidité du sol sont absentes, entraînant une utilisation inefficace de l'eau et une éventuelle pénurie d'eau.","0 - No equipment or techniques for water harvesting, recycling, or saving are implemented. There is no effort to conserve water resources, and measures to avoid evaporation and retain soil moisture are absent, leading to inefficient water use and potential water scarcity."
"water","0.5","0.5","0.5","0.5"
"water","1","1 - Fomba na karazana fitahirizana rano na fitaovana fitahirizana rano (ohatra ny fanondrahana rano mitete, toby fitehirizana). Ezaka voafetra ihany no atao amin'ny fitsitsiana ny rano, ary azo ampiharina ny fanaraha-maso ny etona sy ny fepetra fiarovana ny hamandoana amin'ny tany.","1 - Une méthode ou un type d'équipement de récupération ou d'économie de l'eau (par exemple, irrigation goutte à goutte, réservoir de stockage) est utilisé. Des efforts limités sont déployés pour conserver l'eau, et certaines mesures de contrôle de l'évaporation et de conservation de l'humidité du sol peuvent être appliquées.","1 - One method or type of equipment for water harvesting or saving (e.g., drip irrigation, storage tank) is used. Limited efforts are made to conserve water, and some basic measures to control evaporation and retain soil moisture might be applied."
"water","1.5","1.5","1.5","1.5"
"water","2","2 - Fomba fijinjana na fitahirizana rano na karazana fitaovana no ampiasaina, ary misy fomba fanao hamerana ny fanjifàna rano (ohatra ny fanondrahana ara-potoana, ny voly rakotra). ","2 - Une méthode ou un type d'équipement de récupération ou d'économie de l'eau est utilisé, et une pratique pour limiter la consommation d'eau (par exemple, irrigation au bon moment, cultures de couverture) est mise en œuvre. Des efforts sont faits pour réduire la consommation d'eau, et des mesures de contrôle de l'évaporation et de conservation de l'humidité du sol sont envisagées, mais des améliorations supplémentaires sont possibles.","2 - One method or type of equipment for water harvesting or saving is used, and one practice to limit water use (e.g., timing irrigation, cover crops) is implemented. Some efforts are made to reduce water consumption, and measures for evaporation control and moisture retention are considered, but further improvements are possible."
"water","2.5","2.5","2.5","2.5"
"water","3","3 - Fomba iray na maromaro amin'ny fomba fanarenana na fitahirizana rano no ampiasaina, ary koa fomba iray na maromaro hamerana ny fampiasana rano. Apetraka ny fepetra hifehezana ny etona sy ny fitahirizana ny hamandoan'ny tany, ahafahana mampiasa rano amin'ny fomba mahomby kokoa.  ","3 - Une ou plusieurs méthodes ou types d'équipement de récupération ou d'économie de l'eau sont utilisés, ainsi qu'une ou plusieurs pratiques pour limiter la consommation d'eau. Des mesures de contrôle de l'évaporation et de conservation de l'humidité du sol sont mises en œuvre, ce qui permet une utilisation plus efficace de l'eau.","3 - One or more methods or types of equipment for water harvesting or saving are used, along with one or more practices to limit water use. Measures for evaporation control and soil moisture retention are implemented, leading to more efficient water utilization."
"water","3.5","3.5","3.5","3.5"
"water","4","4 - Fomba sy fomba fitantanana sy fitsitsiana rano maro no atao. Karazana fitaovana fanarenana na fitahirizana rano isan-karazany no ampiasaina, ary koa fomba maro hamerana ny fanjifana rano. Ny fanaraha-maso tanteraka ny etona sy ny fepetra fiarovana ny hamandoan'ny tany dia ampiharina, mampitombo ny fitahirizana rano sy ny fahombiazany. Ny fifantohana amin'ny fitantanana ny rano dia feno sy mahomby indrindra, ahafahana mampiasa rano tsara indrindra ary mampihena kely ny fandaniam-drano, miaraka amin'ny fiheverana manokana ny fifehezana ny etona sy ny fiarovana ny hamandoan'ny tany.","4 - Plusieurs approches et méthodes de gestion et d'économie de l'eau sont pratiquées. Divers types d'équipement de récupération ou d'économie d'eau sont utilisés, ainsi que plusieurs pratiques pour limiter la consommation d'eau. Des mesures complètes de contrôle de l'évaporation et de conservation de l'humidité du sol sont mises en œuvre, ce qui permet de maximiser la conservation et l'efficacité de l'eau. l'accent sur la gestion de l'eau est complet et très efficace, ce qui permet une utilisation optimale de l'eau et une réduction minimale du gaspillage d'eau, avec une attention particulière sur le contrôle de l'évaporation et la conservation de l'humidité du sol.","4 - Several water management and water-saving approaches/methods are practiced. Various types of equipment for water harvesting or saving are utilized, along with multiple practices to limit water use. Comprehensive measures for evaporation control and moisture retention are implemented, maximizing water conservation and efficiency. The focus on water management is comprehensive and highly effective, leading to optimal water utilization and minimal water wastage, with special emphasis on evaporation control and soil moisture retention."
